Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648641478146,39,115,66,30,52,31,71,51,470
1648641478156,46,93,63,20,60,25,79,49,483
1648641478166,46,106,60,29,46,34,87,43,484
1648641478176,36,100,75,29,59,21,76,45,474
1648641478186,36,99,65,24,60,33,104,49,477
1648641478196,45,84,61,29,49,25,84,55,477
1648641478206,48,108,63,21,51,33,69,49,474
1648641478216,47,86,64,14,55,35,71,49,476
1648641478226,39,101,62,24,59,31,83,49,462
1648641478236,43,100,60,27,52,22,77,54,483
1648641478246,49,100,60,28,48,32,71,47,482
1648641478256,47,93,58,32,57,30,82,50,482
1648641478266,43,84,55,25,56,27,76,55,477
1648641478276,54,113,59,34,54,20,85,50,486
1648641478286,47,97,66,28,62,28,78,41,476
1648641478296,40,98,55,28,62,29,83,48,484
1648641478306,44,117,65,19,56,36,91,47,480
1648641478316,43,95,62,14,56,22,92,44,496
1648641478326,49,102,69,23,61,31,81,49,486
1648641478336,50,98,71,16,66,29,69,55,483
1648641478346,55,99,68,21,54,26,69,53,483
1648641478356,52,93,63,21,58,28,85,52,473
1648641478366,38,102,58,20,59,30,89,45,467
1648641478376,47,103,70,25,50,41,84,44,457
1648641478386,46,105,64,26,52,25,71,44,468
1648641478396,44,89,73,27,52,29,67,53,476
1648641478406,43,100,58,33,62,34,85,46,480
1648641478416,43,104,63,32,56,26,83,46,479
1648641478426,38,105,69,33,57,32,82,43,472
1648641478436,43,111,60,30,62,26,87,47,474
1648641478446,47,111,62,24,52,25,83,56,486
1648641478456,50,91,61,30,65,29,70,52,475
1648641478466,44,89,59,32,55,19,78,61,473
1648641478476,41,106,62,25,56,37,69,51,479
1648641478486,42,98,65,23,48,30,72,56,476
1648641478496,41,102,64,25,56,16,89,55,477
1648641478506,47,101,67,16,63,30,79,48,485
1648641478516,48,108,71,18,55,29,70,53,480
1648641478526,47,108,62,11,43,32,86,51,480
1648641478536,59,97,62,38,48,32,88,47,474
1648641478546,37,113,64,22,56,30,74,50,489
1648641478556,46,112,67,28,59,39,62,53,465
1648641478566,43,85,58,26,57,20,83,50,481
1648641478576,54,103,63,23,67,32,84,58,486
1648641478586,48,93,62,28,50,27,87,54,484
1648641478596,45,110,64,19,58,25,88,48,490
1648641478606,47,100,61,29,67,24,91,55,475
1648641478616,53,88,67,26,57,29,82,46,477
1648641478626,46,108,64,28,56,24,89,37,493
1648641478636,39,91,56,21,51,41,77,50,473
1648641478646,42,96,62,28,59,30,97,50,471
1648641478656,39,104,68,19,60,33,75,62,480
1648641478666,46,94,64,32,64,31,101,55,478
1648641478676,35,103,67,25,50,32,87,41,467
1648641478686,42,92,55,29,58,26,91,50,477
1648641478696,52,90,67,31,67,31,69,48,474
1648641478706,54,88,64,23,54,25,81,54,487
1648641478716,47,98,67,19,53,32,81,45,484
1648641478726,45,96,62,20,56,24,81,44,483
1648641478736,49,93,66,34,60,29,50,55,471
1648641478746,46,93,60,18,50,37,87,51,480
1648641478756,42,104,57,31,56,35,87,45,477
1648641478766,49,100,60,25,65,21,81,53,492
1648641478776,44,101,69,21,55,34,80,50,485
1648641478786,52,108,68,9,58,31,78,51,480
1648641478796,41,103,62,32,67,31,82,46,476
1648641478806,55,85,54,31,60,35,76,38,476
1648641478816,46,121,59,24,46,29,66,48,484
1648641478826,59,99,62,32,71,27,76,53,466
1648641478836,40,96,56,16,55,28,71,56,481
1648641478846,43,86,70,23,61,23,73,49,478
1648641478856,50,87,62,25,56,16,105,44,472
1648641478866,43,91,66,30,58,25,89,48,472
1648641478876,53,90,65,25,61,29,69,51,486
1648641478886,43,102,59,20,48,28,79,52,473
1648641478896,50,117,61,38,49,27,93,55,481
1648641478906,47,97,69,32,52,27,79,50,474
1648641478916,39,101,63,30,65,24,80,51,475
1648641478926,50,105,61,25,60,32,92,58,478
1648641478936,50,106,57,9,57,40,82,44,472
1648641478946,42,94,65,25,52,27,81,50,470
1648641478956,48,101,62,24,62,30,97,48,484
1648641478966,45,97,65,21,52,24,91,53,481
1648641478976,50,95,70,24,59,31,94,47,476
1648641478986,41,98,65,20,51,27,75,40,482
1648641478996,40,83,63,20,66,36,95,55,483
1648641479006,42,107,59,15,50,37,83,51,483
1648641479016,40,102,70,28,42,33,85,51,481
1648641479026,40,113,57,25,60,28,92,46,478
1648641479036,40,106,63,26,63,27,88,49,484
1648641479046,54,105,66,32,59,32,75,49,482
1648641479056,52,90,68,33,63,25,94,40,475
1648641479066,53,109,69,25,57,31,87,43,469
1648641479076,52,104,70,23,54,29,76,47,475
1648641479086,49,104,61,26,55,30,85,53,480
1648641479096,38,93,60,13,60,20,76,50,458
1648641479106,45,103,63,27,60,17,86,48,492
1648641479116,54,101,61,29,53,28,85,50,467
1648641479126,48,92,60,19,51,26,82,45,477
1648641479136,49,110,74,28,57,26,87,54,470
1648641479146,50,93,58,28,47,38,89,54,480
1648641479156,54,92,67,14,59,24,89,48,484
1648641479166,44,100,59,26,70,23,75,51,474
1648641479176,47,105,62,30,51,22,103,50,470
1648641479186,45,95,70,41,61,36,98,50,477
1648641479196,44,103,58,35,58,25,77,47,470
1648641479206,47,107,60,21,58,37,76,52,493
1648641479216,43,103,62,32,57,29,90,52,476
1648641479226,37,102,64,21,58,28,80,53,486
1648641479236,45,109,63,23,59,28,66,48,472
1648641479246,48,99,62,30,57,43,79,49,477
1648641479256,46,94,67,24,58,25,70,54,467
1648641479266,48,112,69,21,58,21,81,55,493
1648641479276,53,105,68,26,61,29,99,54,477
1648641479286,44,96,78,24,52,26,99,58,481
1648641479296,41,90,68,17,55,34,82,47,480
1648641479306,48,106,60,18,58,23,77,47,485
1648641479316,48,97,54,28,67,25,72,51,474
1648641479326,45,107,62,18,63,29,71,45,468
1648641479336,42,95,56,34,54,27,91,47,477
1648641479346,45,91,57,16,60,22,78,55,463
1648641479356,39,102,71,10,64,18,79,51,478
1648641479366,40,88,67,25,68,27,81,53,473
1648641479376,46,100,69,20,56,21,93,51,472
1648641479386,42,98,64,26,55,36,51,52,487
1648641479396,44,84,63,25,58,34,61,55,470
1648641479406,43,100,55,17,52,23,78,45,479
1648641479416,49,113,61,25,56,23,57,41,474
1648641479426,54,101,66,26,53,33,66,47,482
1648641479436,53,98,58,21,50,37,92,45,472
1648641479446,48,86,62,39,66,26,71,48,488
1648641479456,42,115,61,23,52,27,102,47,475
1648641479466,48,82,66,17,50,32,77,49,476
1648641479476,48,107,67,21,49,29,88,46,464
1648641479486,35,111,71,28,53,33,85,37,470
1648641479496,34,115,55,26,51,34,84,44,467
1648641479506,46,99,64,26,49,22,69,43,475
1648641479516,37,88,62,30,56,28,76,39,481
1648641479526,50,106,67,26,47,26,72,45,472
1648641479536,51,97,61,22,58,29,83,48,473
1648641479546,48,101,66,21,53,31,85,46,476
1648641479556,47,112,52,35,52,28,70,51,479
1648641479566,43,85,58,28,63,26,72,52,473
1648641479576,47,103,63,13,56,24,90,49,489
1648641479586,41,109,61,20,58,30,85,50,474
1648641479596,46,102,78,29,50,25,90,48,485
1648641479606,51,91,69,24,66,21,81,46,472
1648641479616,51,95,64,16,60,27,88,52,462
1648641479626,53,97,73,19,57,36,85,41,474
1648641479636,43,107,65,24,63,34,64,51,476
1648641479646,43,97,72,20,66,33,80,45,474
1648641479656,40,113,66,33,47,36,97,53,476
1648641479666,47,92,62,20,51,36,89,46,471
1648641479676,37,102,56,30,61,30,84,47,475
1648641479686,53,90,64,27,54,32,78,48,489
1648641479696,39,101,68,38,50,24,80,46,471
1648641479706,41,106,60,22,61,35,84,53,470
1648641479716,50,88,60,22,47,37,82,50,469
1648641479726,50,113,64,20,53,36,74,44,486
1648641479736,48,93,64,28,64,25,75,65,483
1648641479746,47,93,61,29,61,24,72,41,469
1648641479756,46,95,67,33,55,38,88,49,478
1648641479766,49,102,72,29,64,29,62,49,477
1648641479776,48,100,70,23,56,34,84,45,481
1648641479786,47,97,67,27,46,37,76,46,477
1648641479796,38,103,69,22,57,23,76,48,481
1648641479806,47,109,67,23,68,21,82,47,470
1648641479816,55,102,68,18,66,44,91,52,477
1648641479826,50,97,65,25,51,28,75,44,480
1648641479836,37,102,62,26,46,30,98,50,473
1648641479846,51,91,55,14,59,28,86,58,485
1648641479856,59,106,62,21,55,32,90,50,475
1648641479866,45,98,60,37,54,25,83,50,483
1648641479876,39,98,62,32,56,32,77,50,477
1648641479886,47,113,65,21,45,29,78,58,476
1648641479896,46,97,59,29,60,26,70,54,474
1648641479906,49,95,70,22,56,29,94,44,474
1648641479916,44,96,68,40,57,27,88,49,480
1648641479926,48,100,64,38,46,35,91,59,482
1648641479936,45,92,73,21,61,27,90,48,469
1648641479946,49,106,63,24,60,28,67,41,484
1648641479956,43,100,54,9,46,26,84,52,475
1648641479966,44,99,65,26,62,36,80,51,488
1648641479976,44,107,68,27,54,34,69,43,472
1648641479986,44,93,73,26,46,28,86,39,480
1648641479996,41,86,65,15,51,34,86,54,475
1648641480006,52,107,66,28,56,33,101,50,481
1648641480016,45,89,62,29,51,34,98,53,472
1648641480026,54,105,62,20,58,29,86,49,483
1648641480036,44,105,60,32,62,30,50,49,478
1648641480046,34,107,73,23,54,26,85,50,483
1648641480056,40,97,63,30,61,36,81,45,474
1648641480066,45,97,65,34,57,28,70,53,468
1648641480076,46,92,64,34,60,28,72,49,482
1648641480086,47,100,60,18,59,25,90,48,492
1648641480096,45,99,63,23,63,31,72,51,487
1648641480106,44,110,63,27,56,28,93,49,467
1648641480116,42,101,53,18,56,18,83,53,468
1648641480126,39,94,67,11,57,32,72,52,468
1648641480136,42,101,59,23,54,36,81,46,481
1648641480146,52,90,56,31,54,29,79,54,493
1648641480156,52,108,62,22,61,26,85,56,474
1648641480166,53,95,73,35,57,30,67,46,486
1648641480176,47,88,66,26,59,31,81,46,485
1648641480186,57,96,71,20,59,22,66,47,472
1648641480196,38,92,65,23,58,32,76,41,481
1648641480206,51,104,68,28,51,29,84,49,475
1648641480216,48,102,65,15,51,25,97,52,469
1648641480226,51,94,62,18,59,26,75,43,480
1648641480236,50,111,67,21,60,23,81,57,469
1648641480246,48,99,67,17,61,26,87,45,482
1648641480256,49,103,59,21,68,28,74,50,474
1648641480266,45,96,60,31,59,34,77,50,484
1648641480276,38,113,54,28,61,28,79,53,483
1648641480286,45,98,56,18,54,27,86,53,489
1648641480296,50,95,64,25,59,26,82,34,472
1648641480306,44,96,67,32,56,27,91,47,476
1648641480316,46,102,61,21,53,38,90,53,479
1648641480326,46,88,61,25,55,43,96,56,462
1648641480336,60,104,62,31,58,29,84,64,474
1648641480346,45,119,67,24,50,20,82,48,482
1648641480356,47,93,68,26,55,23,73,42,485
1648641480366,43,109,57,21,72,32,88,57,479
1648641480376,37,99,60,17,62,31,79,49,474
1648641480386,48,107,63,35,44,26,81,44,469
1648641480396,51,105,51,31,55,38,96,52,462
1648641480406,42,97,60,22,52,27,101,48,493
1648641480416,46,102,65,34,60,26,66,51,489
1648641480426,43,92,68,23,54,27,79,56,479
1648641480436,48,103,65,23,59,37,76,55,486
1648641480446,48,107,62,26,68,34,66,61,482
1648641480456,49,93,56,21,59,27,60,58,476
1648641480466,49,97,59,27,52,28,68,51,472
1648641480476,49,93,69,16,49,20,78,45,491
1648641480486,55,98,63,20,56,33,67,52,479
1648641480496,43,89,55,15,48,37,62,48,486
1648641480506,42,114,67,28,62,31,75,53,486
1648641480516,44,125,65,20,49,35,90,52,490
1648641480526,46,90,71,19,67,33,100,49,482
1648641480536,52,82,67,29,55,32,75,47,476
1648641480546,46,100,66,17,54,28,77,49,476
1648641480556,54,84,70,19,52,30,69,51,485
1648641480566,41,114,60,34,49,25,86,42,484
1648641480576,45,101,52,17,50,36,70,50,474
1648641480586,32,105,54,34,60,32,83,53,478
1648641480596,44,95,56,36,46,34,83,51,485
1648641480606,56,105,57,35,63,28,76,49,467
1648641480616,39,104,55,29,60,35,83,48,480
1648641480626,47,100,53,34,56,37,75,52,473
1648641480636,48,89,63,30,59,23,68,50,483
1648641480646,50,116,65,26,60,38,80,50,478
1648641480656,53,105,67,25,56,29,89,45,468
1648641480666,54,106,66,20,54,27,115,53,478
1648641480676,40,109,59,21,51,26,74,50,484
1648641480686,47,104,55,21,57,31,87,46,463
1648641480696,49,107,63,27,52,32,82,43,473
1648641480706,45,87,55,25,60,37,97,48,478
1648641480716,46,99,61,24,50,21,84,50,485
1648641480726,44,106,65,25,58,31,98,53,478
1648641480736,50,79,66,22,54,19,79,50,483
1648641480746,44,92,63,39,58,30,91,58,482
1648641480756,52,97,58,18,63,24,68,44,483
1648641480766,43,116,75,30,54,32,78,48,486
1648641480776,42,86,63,22,47,30,80,55,482
1648641480786,51,86,70,18,49,20,74,47,485
1648641480796,48,107,59,23,58,33,68,48,475
1648641480806,46,96,60,28,53,28,85,54,480
1648641480816,44,108,61,30,57,22,93,52,478
1648641480826,43,115,63,17,59,32,80,50,470
1648641480836,44,101,75,24,61,28,99,44,479
1648641480846,46,97,63,21,65,21,85,48,477
1648641480856,44,100,62,21,52,25,70,45,477
1648641480866,54,89,67,25,65,19,84,48,479
1648641480876,48,99,61,30,55,26,98,48,469
1648641480886,44,107,60,25,54,29,75,42,489
1648641480896,46,104,63,17,62,31,82,45,480
1648641480906,32,103,62,24,69,32,72,49,483
1648641480916,34,109,61,24,58,30,70,39,482
1648641480926,48,90,58,33,51,38,79,48,477
1648641480936,41,110,54,31,58,35,89,53,481
1648641480946,50,98,56,15,59,27,84,55,487
1648641480956,43,102,65,18,45,46,70,45,477
1648641480966,42,93,64,24,55,26,78,46,473
1648641480976,48,100,61,28,64,29,81,45,474
1648641480986,50,99,59,26,67,29,79,43,477
1648641480996,45,107,73,28,56,29,82,57,471
1648641481006,57,100,65,16,61,28,81,46,476
1648641481016,46,93,56,25,58,36,53,36,470
1648641481026,52,103,61,30,59,28,65,40,480
1648641481036,51,98,66,22,55,38,83,43,481
1648641481046,52,99,61,34,52,23,64,49,488
1648641481056,50,98,69,30,56,30,70,43,475
1648641481066,46,97,65,25,53,23,83,51,479
1648641481076,50,97,65,26,54,30,88,45,478
1648641481086,45,99,63,29,61,30,95,48,484
1648641481096,47,97,61,24,65,22,73,57,482
1648641481106,44,101,67,20,56,30,67,60,485
1648641481116,48,101,63,26,64,36,61,53,477
1648641481126,49,103,62,25,64,25,84,53,475
1648641481136,44,95,62,31,63,31,71,43,471
1648641481146,52,97,62,30,63,32,97,57,483
1648641481156,45,116,73,10,65,24,92,43,484
1648641481166,47,108,63,29,50,33,96,51,479
1648641481176,34,104,64,21,60,30,82,56,475
1648641481186,32,94,68,26,56,31,77,44,478
1648641481196,48,87,58,28,55,34,81,52,480
1648641481206,41,94,70,13,47,35,58,52,478
1648641481216,46,89,62,32,48,26,77,48,475
1648641481226,44,96,58,27,63,20,86,48,475
1648641481236,54,90,60,19,50,28,82,44,471
1648641481246,44,99,55,19,57,24,74,46,476
1648641481256,43,108,66,30,62,21,82,45,480
1648641481266,50,104,67,23,53,29,91,44,470
1648641481276,47,99,67,29,60,29,103,49,477
1648641481286,53,105,64,26,57,30,81,44,477
1648641481296,55,94,64,27,70,30,76,51,490
1648641481306,43,103,62,12,48,31,77,53,477
1648641481316,55,107,65,19,63,28,89,42,488
1648641481326,48,83,62,26,66,30,53,39,481
1648641481336,38,104,60,27,51,27,92,49,469
1648641481346,46,97,65,28,57,26,82,49,479
1648641481356,59,113,55,26,57,26,94,45,459
1648641481366,46,107,64,34,56,18,81,49,485
1648641481376,50,88,58,16,67,26,60,42,480
1648641481386,42,117,53,28,48,33,74,56,484
1648641481396,41,98,61,20,59,29,91,43,478
1648641481406,46,98,58,17,53,22,94,51,483
1648641481416,48,93,77,25,53,33,60,48,481
