Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1649011674804,61,107,91,114,69,43,165,64,760
1649011674815,64,101,91,114,70,38,166,62,764
1649011674823,56,109,96,112,69,41,165,59,762
1649011674831,61,112,89,115,70,42,163,65,765
1649011674838,64,112,85,114,68,42,163,61,763
1649011674846,60,106,84,117,66,43,160,63,763
1649011674854,57,105,90,110,66,42,165,62,761
1649011674862,63,114,93,111,67,37,165,58,761
1649011674873,59,105,91,110,68,40,159,62,760
1649011674962,58,106,92,113,76,37,164,61,763
1649011674970,61,105,87,115,67,36,160,63,770
1649011674978,60,104,93,111,72,44,162,63,761
1649011674986,62,103,89,114,66,39,170,60,765
1649011674993,57,105,89,118,67,42,165,63,758
1649011675001,63,109,94,113,67,44,162,59,762
1649011675011,56,104,95,111,66,42,167,64,765
1649011675021,61,109,86,111,62,41,155,62,760
1649011675031,62,105,96,115,63,43,163,65,763
1649011675041,62,104,85,105,71,44,165,60,766
1649011675050,60,112,92,112,66,43,164,61,764
1649011675058,57,109,91,113,64,40,166,63,767
1649011675065,58,111,90,113,72,42,165,61,763
1649011675073,54,111,89,111,73,44,165,59,765
1649011675081,59,110,93,110,73,43,159,63,764
1649011675092,63,111,87,119,71,38,172,58,767
1649011675334,60,109,90,110,67,47,166,58,765
1649011675342,63,108,88,109,71,44,167,61,767
1649011675349,58,106,88,115,72,42,171,56,765
1649011675357,60,110,88,115,72,39,161,65,760
1649011675365,62,107,90,113,67,40,165,67,768
1649011675374,60,113,87,111,66,40,165,61,764
1649011675383,61,107,91,115,67,43,168,58,764
1649011675392,58,111,86,116,67,41,171,70,773
1649011675400,59,108,92,114,71,41,166,66,758
1649011675409,58,108,94,113,63,45,171,63,768
1649011675417,58,111,86,112,68,36,170,60,769
1649011675425,54,91,87,115,67,47,167,68,765
1649011675433,64,113,87,117,69,48,170,58,771
1649011675441,57,112,89,112,65,44,166,61,764
1649011675449,56,110,90,116,70,43,169,63,767
1649011675457,55,114,88,115,68,40,169,65,771
1649011675466,60,113,96,117,69,41,175,58,767
1649011675473,62,109,91,114,68,42,170,62,770
1649011675481,58,113,92,120,71,44,165,61,695
1649011675489,63,107,86,116,67,44,170,57,768
1649011675497,63,109,91,117,68,43,167,61,769
1649011675504,58,108,89,110,67,45,161,68,766
1649011675512,64,105,92,117,68,40,170,60,775
1649011675520,63,115,94,113,62,39,166,58,780
1649011675528,57,113,101,125,73,36,164,57,764
1649011675536,71,104,88,112,72,39,171,68,783
1649011675544,71,117,95,112,69,45,174,66,776
1649011675551,66,114,85,111,71,46,176,69,775
1649011675559,60,116,96,118,67,37,165,59,763
1649011675567,54,105,86,117,70,39,162,63,769
1649011675575,50,115,102,135,78,42,172,74,699
1649011675725,61,108,93,118,70,43,174,57,770
1649011675772,63,110,89,117,68,46,170,57,764
1649011675780,64,112,92,114,67,46,175,65,764
1649011675788,62,116,90,116,66,42,170,58,768
1649011675796,57,109,89,116,68,40,172,64,769
1649011675804,63,110,91,114,68,41,174,62,772
1649011675811,63,109,85,114,66,39,172,63,771
1649011675822,65,110,92,119,66,43,175,64,767
1649011675831,53,106,90,122,76,44,172,57,769
1649011675839,66,120,98,118,65,36,176,61,780
1649011675847,72,121,92,123,78,55,182,70,779
1649011675855,65,122,102,134,83,55,188,69,781
1649011675863,68,115,90,111,61,36,163,55,772
1649011675871,56,114,96,119,68,41,172,68,779
1649011675879,60,102,92,118,79,48,172,62,771
1649011675890,65,115,84,115,68,45,175,60,771
1649011675900,61,106,84,115,67,43,171,62,772
1649011676029,68,112,92,117,72,44,174,65,768
1649011676038,58,115,90,117,69,40,173,56,770
1649011676046,61,111,90,118,72,48,174,58,775
1649011676053,63,113,91,115,70,40,176,59,771
1649011676061,63,113,91,119,71,41,173,64,773
1649011676069,60,109,93,116,68,42,174,57,771
1649011676078,66,112,94,116,71,46,177,57,776
1649011676087,67,110,91,124,66,40,169,57,774
1649011676095,70,116,86,114,74,50,181,73,791
1649011676103,74,102,82,113,67,34,175,76,789
1649011676111,69,122,98,118,71,52,175,71,784
1649011676119,69,114,87,121,73,49,184,69,783
1649011676127,76,117,89,112,64,36,168,66,786
1649011676135,66,124,102,128,71,53,173,55,772
1649011676142,61,108,79,122,75,52,188,63,775
1649011676151,70,109,92,118,74,42,172,64,771
1649011676161,64,111,89,120,70,42,173,64,769
1649011676169,62,113,90,116,69,43,175,60,777
1649011676176,60,116,93,115,74,41,171,62,772
1649011676184,62,113,87,119,70,45,179,58,773
1649011676192,62,110,91,122,70,43,175,67,775
1649011676200,61,113,91,122,67,46,175,63,771
1649011676209,62,112,94,120,71,39,179,56,770
1649011676217,61,120,105,126,71,46,178,61,774
1649011676227,62,112,84,121,74,43,170,62,772
1649011676235,62,109,93,115,71,44,176,58,772
1649011676244,56,112,90,118,72,41,177,64,773
1649011676251,64,112,90,117,67,45,176,60,766
1649011676259,61,115,93,115,65,41,180,63,774
1649011676267,63,106,93,112,73,40,178,62,769
1649011676275,60,108,94,120,71,43,172,62,775
1649011676286,63,115,92,118,67,46,177,63,773
1649011676541,60,111,90,118,69,43,179,63,770
1649011676549,61,119,89,117,74,45,174,63,779
1649011676557,62,116,89,119,72,39,172,64,778
1649011676568,66,112,92,121,76,38,174,61,774
1649011676576,66,111,97,117,63,42,174,61,779
1649011676584,59,118,91,119,68,46,175,66,771
1649011676591,62,111,91,121,72,46,175,63,774
1649011676599,56,113,97,113,70,37,173,59,779
1649011676609,61,112,90,115,70,46,174,60,772
1649011676616,60,111,90,114,67,45,176,60,772
1649011676624,64,116,93,120,66,42,171,65,769
1649011676632,66,114,91,118,72,45,175,64,775
1649011676641,66,116,94,116,68,37,178,60,777
1649011676650,60,112,96,117,70,39,174,60,776
1649011676658,63,118,91,115,72,39,170,61,773
1649011676666,65,116,91,118,70,42,180,58,769
1649011676674,64,112,93,118,70,40,174,72,772
1649011676683,61,112,84,118,68,47,177,64,778
1649011676691,59,111,94,115,73,44,175,66,778
1649011676698,64,113,89,120,72,42,169,61,770
1649011676706,60,118,91,117,71,39,177,65,772
1649011676715,63,116,92,108,68,47,185,64,776
1649011676723,62,116,93,122,67,42,173,63,781
1649011676731,65,111,92,117,69,42,175,66,775
1649011676739,64,120,91,117,71,43,176,64,775
1649011676749,66,116,92,119,68,44,174,63,778
1649011676756,59,107,88,117,65,36,177,63,770
1649011676764,59,114,89,120,73,37,175,60,777
1649011676772,62,123,86,121,68,43,175,61,771
1649011676781,63,113,92,114,73,40,180,61,770
1649011676790,63,115,93,122,70,43,175,66,776
1649011676798,61,118,90,116,63,40,171,68,775
1649011676805,59,115,90,117,71,49,170,68,777
1649011676813,63,112,88,120,73,44,178,62,777
1649011676821,61,112,92,120,69,42,176,64,779
1649011676832,64,114,88,120,74,41,173,65,782
1649011676839,59,113,91,118,70,45,175,62,776
1649011676847,62,114,94,121,68,43,172,62,781
1649011676855,63,113,90,119,70,45,174,58,779
1649011676863,61,114,91,118,68,47,179,61,776
1649011676872,62,115,88,117,69,45,175,66,781
1649011676881,57,111,90,118,66,44,175,64,772
1649011676888,61,114,89,116,70,50,175,60,777
1649011676898,63,115,90,121,73,43,176,61,777
1649011676906,59,119,95,119,70,44,175,60,778
1649011676913,64,114,93,118,70,39,174,64,780
1649011676921,62,113,90,123,72,44,177,69,775
1649011676931,66,118,92,117,66,42,175,69,777
1649011676939,65,110,89,117,71,42,176,70,779
1649011676948,53,111,89,118,68,47,174,64,776
1649011676957,65,109,96,122,68,48,173,68,774
1649011676965,59,114,92,117,74,42,177,67,779
1649011676973,58,105,95,119,70,42,171,64,775
1649011676980,66,119,91,122,72,41,172,63,772
1649011676989,63,115,91,115,70,43,174,61,775
1649011676997,60,112,92,116,70,39,168,55,778
1649011677005,57,115,91,124,70,44,173,66,776
1649011677013,60,114,91,116,69,45,177,64,781
1649011677021,49,115,88,115,65,45,173,62,776
1649011677029,65,118,95,118,72,38,175,62,774
1649011677036,56,112,91,113,77,41,174,64,775
1649011677046,60,113,91,116,74,42,176,55,778
1649011677054,58,114,94,119,73,42,174,57,783
1649011677062,60,112,90,118,71,48,178,63,779
1649011677069,64,116,91,114,67,47,173,57,769
1649011677079,63,112,91,120,69,42,172,57,779
1649011677088,61,119,93,121,67,49,181,63,781
1649011677096,61,115,91,121,64,45,176,61,775
1649011677104,60,112,92,121,66,49,175,64,775
1649011677111,60,112,92,121,65,45,174,61,779
1649011677119,60,112,90,118,73,44,177,59,773
1649011677127,66,115,97,118,73,46,175,65,775
1649011677137,59,112,95,129,77,43,167,53,773
1649011677147,61,116,92,120,72,45,182,67,780
1649011677160,55,114,88,117,68,47,172,66,772
